,plot,native,distance,lat,long,rich
11,1050,native,0.28811751,41.419779,-81.944948,19
302,1048,adventive,0.280890881,41.413311,-81.413345,8
303,1048,native,0.280890881,41.413311,-81.413345,24
231,1047,adventive,0.189576708,41.373166,-81.551583,1
232,1047,native,0.189576708,41.373166,-81.551583,39
202,1045,adventive,0.236593794,41.298469,-81.585528,8
203,1045,native,0.236593794,41.298469,-81.585528,57
304,1044,adventive,0.264819337,41.561525,-81.412848,3
305,1044,native,0.264819337,41.561525,-81.412848,12
188,1043,adventive,0.186064534,41.349129,-81.595668,7
189,1043,native,0.186064534,41.349129,-81.595668,25
180,1041,adventive,0.222707067,41.306299,-81.604534,10
181,1041,native,0.222707067,41.306299,-81.604534,57
257,1040,adventive,0.242934689,41.572521,-81.437336,4
258,1040,native,0.242934689,41.572521,-81.437336,29
93,1039,adventive,0.240259753,41.303063,-81.781649,9
94,1039,native,0.240259753,41.303063,-81.781649,42
,1038,adventive,0.160865405,41.452999,-81.821247,0
66,1038,native,0.160865405,41.452999,-81.821247,16
60,1035,adventive,0.243146387,41.330414,-81.82889,3
61,1035,native,0.243146387,41.330414,-81.82889,35
146,1034,adventive,0.307875355,41.210612,-81.693375,8
147,1034,native,0.307875355,41.210612,-81.693375,73
292,1033,adventive,0.261872203,41.580313,-81.419725,2
293,1033,native,0.261872203,41.580313,-81.419725,38
210,1031,adventive,0.178113381,41.373743,-81.569409,1
211,1031,native,0.178113381,41.373743,-81.569409,48
48,1030,adventive,0.173154331,41.450114,-81.833389,1
49,1030,native,0.173154331,41.450114,-81.833389,11
275,1028,adventive,0.248234648,41.555195,-81.428632,4
276,1028,native,0.248234648,41.555195,-81.428632,37
18,1026,adventive,0.24401106,41.403074,-81.889362,5
19,1026,native,0.24401106,41.403074,-81.889362,17
182,1025,adventive,0.219649494,41.310507,-81.601642,10
183,1025,native,0.219649494,41.310507,-81.601642,48
101,1024,adventive,0.130907003,41.41374,-81.753365,6
102,1024,native,0.130907003,41.41374,-81.753365,35
54,1022,adventive,0.165499399,41.468175,-81.831905,5
55,1022,native,0.165499399,41.468175,-81.831905,25
103,1021,adventive,0.30298665,41.220495,-81.732038,8
104,1021,native,0.30298665,41.220495,-81.732038,33
76,1019,adventive,0.259135869,41.292114,-81.801251,4
77,1019,native,0.259135869,41.292114,-81.801251,27
120,1018,adventive,0.307064796,41.212143,-81.702571,5
121,1018,native,0.307064796,41.212143,-81.702571,44
269,1017,adventive,0.247072885,41.570337,-81.432606,9
270,1017,native,0.247072885,41.570337,-81.432606,36
220,1015,adventive,0.177764121,41.381597,-81.55991,3
221,1015,native,0.177764121,41.381597,-81.55991,12
50,1014,adventive,0.234266058,41.345979,-81.833202,5
51,1014,native,0.234266058,41.345979,-81.833202,39
156,1013,adventive,0.217551745,41.300936,-81.690296,5
157,1013,native,0.217551745,41.300936,-81.690296,37
288,1012,adventive,0.256252611,41.565368,-81.422232,4
289,1012,native,0.256252611,41.565368,-81.422232,35
14,1010,adventive,0.251562726,41.403332,-81.898016,9
15,1010,native,0.251562726,41.403332,-81.898016,47
116,1009,adventive,0.298547836,41.221348,-81.708681,7
117,1009,native,0.298547836,41.221348,-81.708681,27
148,1008,adventive,0.149928983,41.369101,-81.69258,2
149,1008,native,0.149928983,41.369101,-81.69258,20
,1006,adventive,0.305206245,41.408758,-81.959078,0
6,1006,native,0.305206245,41.408758,-81.959078,28
160,1005,adventive,0.261770629,41.256463,-81.687648,5
161,1005,native,0.261770629,41.256463,-81.687648,52
222,1004,adventive,0.180104027,41.381564,-81.556337,11
223,1004,native,0.180104027,41.381564,-81.556337,44
44,1003,adventive,0.235538044,41.347586,-81.836767,1
45,1003,native,0.235538044,41.347586,-81.836767,28
109,1002,adventive,0.315437342,41.206452,-81.724179,6
110,1002,native,0.315437342,41.206452,-81.724179,22
